

Time,Parent Job,Current Job,Step,Param ID,Param Value,Tack Time
2022/05/23 04:22:49,AutoSampleProcessJob,LoadJob,STARTED,-,-
2022/05/23 04:22:49,AutoSampleProcessJob,LoadJob,Start load sample,Port No,1,0.001
,,,,Slot No,4
2022/05/23 04:22:54,AutoSampleProcessJob,LoadJob,Unload from port (Lower),-,-,5.432
2022/05/23 04:22:58,AutoSampleProcessJob,LoadJob,Load to aligner (Lower),-,-,3.766
2022/05/23 04:23:06,AutoSampleProcessJob,LoadJob,Align,Align Angle,270,7.446
2022/05/23 04:23:08,AutoSampleProcessJob,LoadJob,Unload from aligner (Lower),-,-,2.447
2022/05/23 04:23:20,AutoSampleProcessJob,LoadJob,Load to stage (Lower),-,-,11.688
2022/05/23 04:23:20,AutoSampleProcessJob,LoadJob,DONE,-,-,0.001,30.781
2022/05/23 04:23:20,AutoSampleProcessJob,AutoSampleProcessKernelJob,STARTED,-,-
2022/05/23 04:23:20,AutoSampleProcessKernelJob,FanSpeedControlJob,STARTED,-,-
2022/05/23 04:23:20,AutoSampleProcessKernelJob,FanSpeedControlJob,Set fan speed,Fan Speed,60,0.00
2022/05/23 04:23:20,AutoSampleProcessKernelJob,FanSpeedControlJob,DONE,-,-,0.00,0.015
2022/05/23 04:23:20,AutoSampleProcessKernelJob,VacuumJob,STARTED,-,-
2022/05/23 04:23:21,AutoSampleProcessKernelJob,VacuumJob,Vacuum On,Index,0,0.94
2022/05/23 04:23:21,AutoSampleProcessKernelJob,VacuumJob,DONE,-,-,0.001,0.956
2022/05/23 04:23:21,AutoSampleProcessKernelJob,IonizerOnJob,STARTED,-,-
2022/05/23 04:23:22,AutoSampleProcessKernelJob,IonizerOnJob,Ionizer On,-,-,1.563
2022/05/23 04:23:22,AutoSampleProcessKernelJob,IonizerOnJob,DONE,-,-,0.00,2.519
2022/05/23 04:23:22,AutoSampleProcessKernelJob,AutoTipExchangeJob,STARTED,-,-
2022/05/23 04:23:22,AutoSampleProcessKernelJob,AutoTipExchangeJob,DONE,-,-,0.124,2.643
2022/05/23 04:23:22,AutoSampleProcessKernelJob,TipAutoFocusPatternJob,STARTED,-,-
2022/05/23 04:23:23,AutoSampleProcessKernelJob,TipAutoFocusPatternJob,Rotates to Center,-,-,0.841
2022/05/23 04:23:27,AutoSampleProcessKernelJob,TipAutoFocusPatternJob,Coarse tip auto focus,-,-,3.607
2022/05/23 04:23:28,AutoSampleProcessKernelJob,TipAutoFocusPatternJob,Coarse tip pattern align,-,-,0.704
2022/05/23 04:23:30,AutoSampleProcessKernelJob,TipAutoFocusPatternJob,Fine tip auto focus,-,-,2.304
2022/05/23 04:23:31,AutoSampleProcessKernelJob,TipAutoFocusPatternJob,Fine tip pattern align,-,-,0.681
2022/05/23 04:23:31,AutoSampleProcessKernelJob,TipAutoFocusPatternJob,Tip Auto focus & Pattern match,Autofocus ID - Tip,,0.013
,,,,Pattern ID - Tip,
,,,,Focus Position - Tip,4814.825684
