Timestamp,Log Message,Message,User Path,Customer Path,Lot ID,Wafer ID,Port ID,Date,Time
2022-01-14 01:51:11.365000,Duration = 00:31:34<Wafer Run - Lot name: BKM\STOCH16\AMMLDF21_5-7652. Wafer ID: @16. Port No: 1>,00:31:34,BKM,STOCH16,AMMLDF21_5-7652. ,@16. ,1,2022-01-14 00:00:00,01:51:11.365000
2022-01-14 02:24:25.593000,Duration = 00:33:01<Wafer Run - Lot name: BKM\STOCH16\AMMLDF21_5-7652. Wafer ID: @17. Port No: 1>,00:33:01,BKM,STOCH16,AMMLDF21_5-7652. ,@17. ,1,2022-01-14 00:00:00,02:24:25.593000
2022-01-14 02:57:38.082000,Duration = 00:32:58<Wafer Run - Lot name: BKM\STOCH16\AMMLDF21_5-7652. Wafer ID: @18. Port No: 1>,00:32:58,BKM,STOCH16,AMMLDF21_5-7652. ,@18. ,1,2022-01-14 00:00:00,02:57:38.082000
2022-01-14 03:31:13.188000,Duration = 00:33:21<Wafer Run - Lot name: BKM\STOCH16\AMMLDF21_5-7652. Wafer ID: @19. Port No: 1>,00:33:21,BKM,STOCH16,AMMLDF21_5-7652. ,@19. ,1,2022-01-14 00:00:00,03:31:13.188000
2022-01-14 03:31:23.262000,Lot End <BKM\STOCH16\AMMLDF21_5-7652>,Lot End ,BKM,STOCH16,AMMLDF21_5-7652,,,2022-01-14 00:00:00,03:31:23.262000
2022-01-14 03:31:24.652000,Lot Start <USERS\JSR\AR128903-A-7651>,Lot Start ,USERS,JSR,AR128903-A-7651,,,2022-01-14 00:00:00,03:31:24.652000
2022-01-14 03:42:41.503000,Duration = 00:10:35<Wafer Run - Lot name: USERS\JSR\AR128903-A-7651. Wafer ID: @07. Port No: 2>,00:10:35,USERS,JSR,AR128903-A-7651. ,@07. ,2,2022-01-14 00:00:00,03:42:41.503000
2022-01-14 03:58:14.220000,Duration = 00:15:22<Wafer Run - Lot name: USERS\JSR\AR128903-A-7651. Wafer ID: @08. Port No: 2>,00:15:22,USERS,JSR,AR128903-A-7651. ,@08. ,2,2022-01-14 00:00:00,03:58:14.220000
2022-01-14 04:09:01.113000,Duration = 00:10:35<Wafer Run - Lot name: USERS\JSR\AR128903-A-7651. Wafer ID: @09. Port No: 2>,00:10:35,USERS,JSR,AR128903-A-7651. ,@09. ,2,2022-01-14 00:00:00,04:09:01.113000
2022-01-14 04:22:17.779000,Duration = 00:13:04<Wafer Run - Lot name: USERS\JSR\AR128903-A-7651. Wafer ID: @10. Port No: 2>,00:13:04,USERS,JSR,AR128903-A-7651. ,@10. ,2,2022-01-14 00:00:00,04:22:17.779000
2022-01-14 04:30:49.823000,Duration = 00:08:19<Wafer Run - Lot name: USERS\JSR\AR128903-A-7651. Wafer ID: @11. Port No: 2>,00:08:19,USERS,JSR,AR128903-A-7651. ,@11. ,2,2022-01-14 00:00:00,04:30:49.823000
2022-01-14 04:30:54.955000,Lot End <USERS\JSR\AR128903-A-7651>,Lot End ,USERS,JSR,AR128903-A-7651,,,2022-01-14 00:00:00,04:30:54.955000
2022-01-14 05:01:38.989000,Lot Start <USERS\JSR\AR128824-7651-D01-D04>,Lot Start ,USERS,JSR,AR128824-7651-D01-D04,,,2022-01-14 00:00:00,05:01:38.989000
2022-01-14 05:12:40.575000,Duration = 00:10:35<Wafer Run - Lot name: USERS\JSR\AR128824-7651-D01-D04. Wafer ID: @01. Port No: 1>,00:10:35,USERS,JSR,AR128824-7651-D01-D04. ,@01. ,1,2022-01-14 00:00:00,05:12:40.575000
2022-01-14 05:28:11.122000,Duration = 00:15:20<Wafer Run - Lot name: USERS\JSR\AR128824-7651-D01-D04. Wafer ID: @02. Port No: 1>,00:15:20,USERS,JSR,AR128824-7651-D01-D04. ,@02. ,1,2022-01-14 00:00:00,05:28:11.122000
2022-01-14 05:38:57.949000,Duration = 00:10:33<Wafer Run - Lot name: USERS\JSR\AR128824-7651-D01-D04. Wafer ID: @03. Port No: 1>,00:10:33,USERS,JSR,AR128824-7651-D01-D04. ,@03. ,1,2022-01-14 00:00:00,05:38:57.949000
2022-01-14 05:47:29.484000,Duration = 00:08:18<Wafer Run - Lot name: USERS\JSR\AR128824-7651-D01-D04. Wafer ID: @04. Port No: 1>,00:08:18,USERS,JSR,AR128824-7651-D01-D04. ,@04. ,1,2022-01-14 00:00:00,05:47:29.484000
2022-01-14 05:47:37.213000,Lot End <USERS\JSR\AR128824-7651-D01-D04>,Lot End ,USERS,JSR,AR128824-7651-D01-D04,,,2022-01-14 00:00:00,05:47:37.213000
2022-01-14 05:58:33.997000,Lot Start <USERS\SCREEN\D01>,Lot Start ,USERS,SCREEN,D01,,,2022-01-14 00:00:00,05:58:33.997000
